,transaction_id,transaction_created_at,user_id,currency,amount,is_gift
0,3807046,2021-05-16 03:41:25,12242732,RUB,390.0,False
1,3807613,2021-05-16 11:06:23,12241834,RUB,7980.0,False
2,3807673,2021-05-16 11:33:06,12241501,RUB,24880.0,False
3,3810405,2021-05-17 09:45:40,12242141,RUB,8520.0,False
4,3811432,2021-05-17 13:35:35,12251367,RUB,14360.0,False
5,3812276,2021-05-17 16:36:05,12246430,RUB,3920.0,False
6,3812744,2021-05-17 17:51:06,12249904,RUB,16430.0,False
7,3813007,2021-05-17 18:38:33,12252272,RUB,4980.0,False
8,3813505,2021-05-17 20:21:07,12245912,RUB,35415.0,False
9,3813878,2021-05-17 21:42:26,12252290,RUB,127360.0,False
10,3814692,2021-05-18 08:52:02,12250966,RUB,6320.0,False
11,3814864,2021-05-18 09:46:22,12252546,RUB,12640.0,False
12,3814883,2021-05-18 09:52:10,12250466,RUB,3920.0,False
13,3815401,2021-05-18 11:45:53,12257990,RUB,16960.0,False
14,3816306,2021-05-18 14:51:54,12249735,RUB,29760.0,False
15,3816580,2021-05-18 15:46:51,12249152,RUB,29760.0,False
16,3816778,2021-05-18 16:37:28,12251840,RUB,49310.0,False
17,3817062,2021-05-18 17:22:37,12248333,RUB,9040.0,False
18,3817126,2021-05-18 17:32:44,12244922,RUB,14360.0,False
19,3817243,2021-05-18 17:53:53,12260138,RUB,8990.0,False
20,3817453,2021-05-18 18:42:02,12257077,RUB,24880.0,False
21,3818120,2021-05-18 20:33:35,12244203,RUB,36560.0,False
22,3818462,2021-05-18 21:46:52,12258425,RUB,24880.0,False
23,3818497,2021-05-18 21:53:38,12247795,EUR,633.6,False
24,3818764,2021-05-18 23:34:36,12259949,GBP,315.0,False
25,3819720,2021-05-19 11:20:05,12260770,RUB,25920.0,False
26,3819830,2021-05-19 11:48:28,12265216,RUB,8520.0,False
27,3820063,2021-05-19 12:34:25,12257070,RUB,3160.0,False
28,3820941,2021-05-19 15:41:41,12244663,RUB,18880.0,False
29,3820992,2021-05-19 15:51:21,12252150,RUB,44160.0,False
30,3821124,2021-05-19 16:15:49,12257427,PLN,267.6,False
31,3821165,2021-05-19 16:27:36,12256938,RUB,21120.0,False
32,3821862,2021-05-19 18:45:04,12260873,RUB,24880.0,False
33,3821907,2021-05-19 18:52:41,12246094,EUR,206.4,False
34,3822006,2021-05-19 19:12:47,12249787,RUB,15440.0,False
35,3822091,2021-05-19 19:32:56,12250282,RUB,25280.0,False
36,3822375,2021-05-19 20:18:40,12265874,RUB,8520.0,False
37,3822461,2021-05-19 20:35:19,12246783,RUB,18880.0,False
38,3822913,2021-05-19 22:36:09,12270612,RUB,30720.0,False
39,3822936,2021-05-19 22:42:59,12264798,RUB,43680.0,False
40,3822966,2021-05-19 22:52:50,12270612,RUB,25280.0,False
41,3823334,2021-05-20 07:57:59,12269617,EUR,59.6,False
42,3823466,2021-05-20 09:08:12,12248558,RUB,16430.0,False
43,3823477,2021-05-20 09:11:33,12248558,RUB,15440.0,False
